EPOCHS ,RGB    ,Gray   ,RGB-T0 ,Gray-T0,RGB-T1 ,Gray-T1,RGB-T2 ,Gray-T2,
    154,0.92132,0.93764,0.92993,0.93537,0.93560,0.94331,0.93288,0.94807,
    155,0.93061,0.93810,0.92902,0.93923,0.93492,0.94444,0.92653,0.94921,
    156,0.91905,0.93583,0.92993,0.93379,0.93696,0.94172,0.93107,0.94943,
    157,0.92358,0.93764,0.93197,0.93243,0.92562,0.94535,0.93447,0.94240,
    158,0.92313,0.93016,0.93243,0.93333,0.93016,0.94104,0.93583,0.94649,
    159,0.91859,0.93288,0.93560,0.93469,0.92721,0.94308,0.93900,0.93923,
    160,0.92177,0.93424,0.93039,0.93719,0.92880,0.93923,0.93628,0.94286,
    161,0.92404,0.94263,0.92676,0.94014,0.92925,0.94535,0.93968,0.93878,
    162,0.92494,0.93288,0.93175,0.94150,0.93084,0.94694,0.93220,0.94376,
    163,0.92358,0.94376,0.93492,0.93991,0.93129,0.94603,0.93787,0.94195,
    164,0.92449,0.93764,0.92494,0.93810,0.93447,0.93605,0.93696,0.94535,
    165,0.92698,0.93968,0.93016,0.94036,0.92789,0.94943,0.93265,0.94649,
    166,0.92744,0.93923,0.93243,0.93583,0.93243,0.94036,0.93107,0.94603,
    167,0.92268,0.93401,0.93696,0.93628,0.92744,0.94558,0.93039,0.94694,
    168,0.92585,0.94354,0.93447,0.93311,0.92789,0.94331,0.93447,0.94059,
    169,0.92698,0.94127,0.93515,0.94172,0.93152,0.94127,0.93311,0.94785,
    170,0.92993,0.94014,0.93197,0.93651,0.93515,0.94331,0.93673,0.94580,
    171,0.93084,0.93946,0.93129,0.94104,0.93084,0.94422,0.93492,0.94785,
    172,0.92200,0.93810,0.93537,0.94172,0.92902,0.94626,0.93537,0.94399,
    173,0.92290,0.93583,0.93424,0.94036,0.92948,0.93810,0.93537,0.93741,
    174,0.92766,0.93129,0.92948,0.93832,0.93991,0.94422,0.93243,0.94830,
    175,0.92517,0.93900,0.93016,0.93492,0.94399,0.94172,0.93832,0.94399,
    176,0.92540,0.93878,0.93628,0.94649,0.93379,0.94444,0.93673,0.94921,
